"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2016 17:15 - 02.01.2016 17:30","50476","59957"
"02.01.2016 17:30 - 02.01.2016 17:45","51457","60350"
"02.01.2016 17:45 - 02.01.2016 18:00","51466","60635"
"02.01.2016 18:00 - 02.01.2016 18:15","51731","60779"
"02.01.2016 18:15 - 02.01.2016 18:30","52246","60718"
"02.01.2016 18:30 - 02.01.2016 18:45","51895","60357"
"02.01.2016 18:45 - 02.01.2016 19:00","51359","59871"
"02.01.2016 19:00 - 02.01.2016 19:15","51694","59718"
"02.01.2016 19:15 - 02.01.2016 19:30","50474","59095"
"02.01.2016 19:30 - 02.01.2016 19:45","50121","58650"
"02.01.2016 19:45 - 02.01.2016 20:00","50321","58073"
"02.01.2016 20:00 - 02.01.2016 20:15","48964","56900"
"02.01.2016 20:15 - 02.01.2016 20:30","47766","55597"
"02.01.2016 20:30 - 02.01.2016 20:45","47190","54528"
"02.01.2016 20:45 - 02.01.2016 21:00","46000","53672"
"02.01.2016 21:00 - 02.01.2016 21:15","45959","53305"
"02.01.2016 21:15 - 02.01.2016 21:30","45187","52785"
"02.01.2016 21:30 - 02.01.2016 21:45","45138","52274"
"02.01.2016 21:45 - 02.01.2016 22:00","45007","52140"
"02.01.2016 22:00 - 02.01.2016 22:15","45420","52950"
"02.01.2016 22:15 - 02.01.2016 22:30","45927","52477"
"02.01.2016 22:30 - 02.01.2016 22:45","45306","52030"
"02.01.2016 22:45 - 02.01.2016 23:00","44773","51001"
"02.01.2016 23:00 - 02.01.2016 23:15","44100","50260"
"02.01.2016 23:15 - 02.01.2016 23:30","43727","49604"
"02.01.2016 23:30 - 02.01.2016 23:45","42423","48566"
"02.01.2016 23:45 - 03.01.2016 00:00","41373","47672"
"03.01.2016 00:00 - 03.01.2016 00:15","40019","47139"
"03.01.2016 00:15 - 03.01.2016 00:30","39347","46280"
"03.01.2016 00:30 - 03.01.2016 00:45","38919","45358"
"03.01.2016 00:45 - 03.01.2016 01:00","38448","44553"
"03.01.2016 01:00 - 03.01.2016 01:15","38007","43965"
"03.01.2016 01:15 - 03.01.2016 01:30","37516","43508"
"03.01.2016 01:30 - 03.01.2016 01:45","37409","42771"
"03.01.2016 01:45 - 03.01.2016 02:00","37156","42323"
"03.01.2016 02:00 - 03.01.2016 02:15","36786","42353"
"03.01.2016 02:15 - 03.01.2016 02:30","36517","41914"
"03.01.2016 02:30 - 03.01.2016 02:45","36317","41528"
"03.01.2016 02:45 - 03.01.2016 03:00","35943","41443"
"03.01.2016 03:00 - 03.01.2016 03:15","35860","41399"
"03.01.2016 03:15 - 03.01.2016 03:30","35824","41383"
"03.01.2016 03:30 - 03.01.2016 03:45","35846","41270"
"03.01.2016 03:45 - 03.01.2016 04:00","35653","41145"
"03.01.2016 04:00 - 03.01.2016 04:15","35724","41316"
"03.01.2016 04:15 - 03.01.2016 04:30","35832","41319"
"03.01.2016 04:30 - 03.01.2016 04:45","35441","41498"
"03.01.2016 04:45 - 03.01.2016 05:00","35617","41304"
"03.01.2016 05:00 - 03.01.2016 05:15","35611","41468"
"03.01.2016 05:15 - 03.01.2016 05:30","35205","41166"
"03.01.2016 05:30 - 03.01.2016 05:45","34932","40944"
"03.01.2016 05:45 - 03.01.2016 06:00","34333","40567"
"03.01.2016 06:00 - 03.01.2016 06:15","33778","40069"
"03.01.2016 06:15 - 03.01.2016 06:30","33538","40299"
"03.01.2016 06:30 - 03.01.2016 06:45","33917","40427"
"03.01.2016 06:45 - 03.01.2016 07:00","33732","40769"
"03.01.2016 07:00 - 03.01.2016 07:15","34937","40900"
"03.01.2016 07:15 - 03.01.2016 07:30","35104","41506"
"03.01.2016 07:30 - 03.01.2016 07:45","35888","42548"
"03.01.2016 07:45 - 03.01.2016 08:00","36631","43149"
"03.01.2016 08:00 - 03.01.2016 08:15","37132","43276"
"03.01.2016 08:15 - 03.01.2016 08:30","37792","44505"
"03.01.2016 08:30 - 03.01.2016 08:45","38237","45176"
"03.01.2016 08:45 - 03.01.2016 09:00","39122","45900"
"03.01.2016 09:00 - 03.01.2016 09:15","40224","46692"
"03.01.2016 09:15 - 03.01.2016 09:30","40930","47467"
"03.01.2016 09:30 - 03.01.2016 09:45","41508","48636"
"03.01.2016 09:45 - 03.01.2016 10:00","42375","49635"
"03.01.2016 10:00 - 03.01.2016 10:15","42784","50120"
"03.01.2016 10:15 - 03.01.2016 10:30","43810","50777"
"03.01.2016 10:30 - 03.01.2016 10:45","44165","51317"
"03.01.2016 10:45 - 03.01.2016 11:00","44669","52238"
"03.01.2016 11:00 - 03.01.2016 11:15","45200","52848"
"03.01.2016 11:15 - 03.01.2016 11:30","45919","53884"
"03.01.2016 11:30 - 03.01.2016 11:45","46458","54693"
"03.01.2016 11:45 - 03.01.2016 12:00","46449","54768"
"03.01.2016 12:00 - 03.01.2016 12:15","46657","54746"
"03.01.2016 12:15 - 03.01.2016 12:30","46203","54597"
"03.01.2016 12:30 - 03.01.2016 12:45","46017","54247"
"03.01.2016 12:45 - 03.01.2016 13:00","45467","53671"
"03.01.2016 13:00 - 03.01.2016 13:15","44970","53430"
"03.01.2016 13:15 - 03.01.2016 13:30","44481","53059"
"03.01.2016 13:30 - 03.01.2016 13:45","44105","52813"
"03.01.2016 13:45 - 03.01.2016 14:00","43878","52122"
"03.01.2016 14:00 - 03.01.2016 14:15","43422","51928"
"03.01.2016 14:15 - 03.01.2016 14:30","43276","51572"
"03.01.2016 14:30 - 03.01.2016 14:45","43545","51030"
"03.01.2016 14:45 - 03.01.2016 15:00","42710","50577"
"03.01.2016 15:00 - 03.01.2016 15:15","42750","50834"
"03.01.2016 15:15 - 03.01.2016 15:30","42349","50767"
"03.01.2016 15:30 - 03.01.2016 15:45","42750","50877"
"03.01.2016 15:45 - 03.01.2016 16:00","43171","50917"
"03.01.2016 16:00 - 03.01.2016 16:15","43113","51737"
"03.01.2016 16:15 - 03.01.2016 16:30","43776","52470"
"03.01.2016 16:30 - 03.01.2016 16:45","44656","53576"
"03.01.2016 16:45 - 03.01.2016 17:00","45437","54881"
"03.01.2016 17:00 - 03.01.2016 17:15","46805","56431"
"03.01.2016 17:15 - 03.01.2016 17:30","47980","57216"
"03.01.2016 17:30 - 03.01.2016 17:45","48876","57549"
"03.01.2016 17:45 - 03.01.2016 18:00","48751","57988"
"03.01.2016 18:00 - 03.01.2016 18:15","48904","58290"
"03.01.2016 18:15 - 03.01.2016 18:30","49161","57896"
"03.01.2016 18:30 - 03.01.2016 18:45","48945","57575"
"03.01.2016 18:45 - 03.01.2016 19:00","48345","57793"
"03.01.2016 19:00 - 03.01.2016 19:15","49398","57563"
"03.01.2016 19:15 - 03.01.2016 19:30","48359","57158"
"03.01.2016 19:30 - 03.01.2016 19:45","48318","56388"
"03.01.2016 19:45 - 03.01.2016 20:00","47888","56065"
"03.01.2016 20:00 - 03.01.2016 20:15","47442","55993"
"03.01.2016 20:15 - 03.01.2016 20:30","46349","55085"
"03.01.2016 20:30 - 03.01.2016 20:45","46076","54174"
"03.01.2016 20:45 - 03.01.2016 21:00","45487","53203"
"03.01.2016 21:00 - 03.01.2016 21:15","45322","53492"
"03.01.2016 21:15 - 03.01.2016 21:30","45047","52877"
"03.01.2016 21:30 - 03.01.2016 21:45","44982","52459"
"03.01.2016 21:45 - 03.01.2016 22:00","44877","52846"
"03.01.2016 22:00 - 03.01.2016 22:15","45635","53871"
"03.01.2016 22:15 - 03.01.2016 22:30","45761","53184"
"03.01.2016 22:30 - 03.01.2016 22:45","44887","52116"
"03.01.2016 22:45 - 03.01.2016 23:00","44115","51256"
"03.01.2016 23:00 - 03.01.2016 23:15","43573","50774"
"03.01.2016 23:15 - 03.01.2016 23:30","43124","50225"
"03.01.2016 23:30 - 03.01.2016 23:45","42143","49190"
"03.01.2016 23:45 - 04.01.2016 00:00","41478","48002"
"04.01.2016 00:00 - 04.01.2016 00:15","39862","48064"
"04.01.2016 00:15 - 04.01.2016 00:30","39990","47115"
"04.01.2016 00:30 - 04.01.2016 00:45","39559","46430"
"04.01.2016 00:45 - 04.01.2016 01:00","39140","45848"
"04.01.2016 01:00 - 04.01.2016 01:15","38838","45436"
"04.01.2016 01:15 - 04.01.2016 01:30","38545","45226"
"04.01.2016 01:30 - 04.01.2016 01:45","38253","44814"
"04.01.2016 01:45 - 04.01.2016 02:00","38027","44333"
"04.01.2016 02:00 - 04.01.2016 02:15","37873","43944"
"04.01.2016 02:15 - 04.01.2016 02:30","37611","43814"
"04.01.2016 02:30 - 04.01.2016 02:45","37501","43692"
"04.01.2016 02:45 - 04.01.2016 03:00","37406","43644"
"04.01.2016 03:00 - 04.01.2016 03:15","37663","43563"
"04.01.2016 03:15 - 04.01.2016 03:30","37378","43777"
"04.01.2016 03:30 - 04.01.2016 03:45","37572","43835"
"04.01.2016 03:45 - 04.01.2016 04:00","37399","44258"
"04.01.2016 04:00 - 04.01.2016 04:15","37596","44731"
"04.01.2016 04:15 - 04.01.2016 04:30","38339","45181"
"04.01.2016 04:30 - 04.01.2016 04:45","38200","45672"
"04.01.2016 04:45 - 04.01.2016 05:00","38604","46207"
"04.01.2016 05:00 - 04.01.2016 05:15","39574","47221"
"04.01.2016 05:15 - 04.01.2016 05:30","39424","47838"
"04.01.2016 05:30 - 04.01.2016 05:45","40160","49107"
"04.01.2016 05:45 - 04.01.2016 06:00","41004","50214"
"04.01.2016 06:00 - 04.01.2016 06:15","42531","52267"
"04.01.2016 06:15 - 04.01.2016 06:30","43391","54230"
"04.01.2016 06:30 - 04.01.2016 06:45","44734","55788"
"04.01.2016 06:45 - 04.01.2016 07:00","46476","56792"
"04.01.2016 07:00 - 04.01.2016 07:15","47140","58843"
"04.01.2016 07:15 - 04.01.2016 07:30","48284","60244"
"04.01.2016 07:30 - 04.01.2016 07:45","50382","61615"
"04.01.2016 07:45 - 04.01.2016 08:00","51033","62842"
"04.01.2016 08:00 - 04.01.2016 08:15","51757","63897"
"04.01.2016 08:15 - 04.01.2016 08:30","51669","64589"
"04.01.2016 08:30 - 04.01.2016 08:45","52220","64894"
"04.01.2016 08:45 - 04.01.2016 09:00","52336","65200"
"04.01.2016 09:00 - 04.01.2016 09:15","52798","65523"
"04.01.2016 09:15 - 04.01.2016 09:30","53064","65967"
"04.01.2016 09:30 - 04.01.2016 09:45","53373","66329"
"04.01.2016 09:45 - 04.01.2016 10:00","53813","66469"
"04.01.2016 10:00 - 04.01.2016 10:15","53787","66896"
"04.01.2016 10:15 - 04.01.2016 10:30","54188","67077"
"04.01.2016 10:30 - 04.01.2016 10:45","54595","67314"
"04.01.2016 10:45 - 04.01.2016 11:00","54724","67736"
"04.01.2016 11:00 - 04.01.2016 11:15","55121","67980"
"04.01.2016 11:15 - 04.01.2016 11:30","55066","68526"
"04.01.2016 11:30 - 04.01.2016 11:45","55604","68966"
"04.01.2016 11:45 - 04.01.2016 12:00","55866","68986"
"04.01.2016 12:00 - 04.01.2016 12:15","55616","68749"
"04.01.2016 12:15 - 04.01.2016 12:30","55360","68600"
"04.01.2016 12:30 - 04.01.2016 12:45","55704","68629"
"04.01.2016 12:45 - 04.01.2016 13:00","55645","68635"
"04.01.2016 13:00 - 04.01.2016 13:15","55495","68598"
"04.01.2016 13:15 - 04.01.2016 13:30","55513","68280"
"04.01.2016 13:30 - 04.01.2016 13:45","55411","67863"
"04.01.2016 13:45 - 04.01.2016 14:00","55263","67353"
"04.01.2016 14:00 - 04.01.2016 14:15","54957","67196"
"04.01.2016 14:15 - 04.01.2016 14:30","54625","66872"
"04.01.2016 14:30 - 04.01.2016 14:45","55014","66659"
"04.01.2016 14:45 - 04.01.2016 15:00","54187","66477"
"04.01.2016 15:00 - 04.01.2016 15:15","54995","66576"
"04.01.2016 15:15 - 04.01.2016 15:30","54528","66273"
"04.01.2016 15:30 - 04.01.2016 15:45","54474","66188"
"04.01.2016 15:45 - 04.01.2016 16:00","54411","66030"
"04.01.2016 16:00 - 04.01.2016 16:15","53522","65792"
"04.01.2016 16:15 - 04.01.2016 16:30","54725","66296"
"04.01.2016 16:30 - 04.01.2016 16:45","55499","67319"
"04.01.2016 16:45 - 04.01.2016 17:00","56257","68732"
"04.01.2016 17:00 - 04.01.2016 17:15","56735","69896"
"04.01.2016 17:15 - 04.01.2016 17:30","57834","70580"
"04.01.2016 17:30 - 04.01.2016 17:45","57906","71101"
"04.01.2016 17:45 - 04.01.2016 18:00","58191","71250"
"04.01.2016 18:00 - 04.01.2016 18:15","57553","70974"
"04.01.2016 18:15 - 04.01.2016 18:30","57836","70797"
"04.01.2016 18:30 - 04.01.2016 18:45","57457","70674"
"04.01.2016 18:45 - 04.01.2016 19:00","57177","70628"
"04.01.2016 19:00 - 04.01.2016 19:15","58293","70136"
"04.01.2016 19:15 - 04.01.2016 19:30","56059","69372"
"04.01.2016 19:30 - 04.01.2016 19:45","55548","68489"
"04.01.2016 19:45 - 04.01.2016 20:00","55520","67801"
"04.01.2016 20:00 - 04.01.2016 20:15","54796","66651"
"04.01.2016 20:15 - 04.01.2016 20:30","53460","65139"
"04.01.2016 20:30 - 04.01.2016 20:45","52336","63944"
"04.01.2016 20:45 - 04.01.2016 21:00","51790","62972"
"04.01.2016 21:00 - 04.01.2016 21:15","51876","62605"
"04.01.2016 21:15 - 04.01.2016 21:30","51493","62054"
"04.01.2016 21:30 - 04.01.2016 21:45","50678","61311"
"04.01.2016 21:45 - 04.01.2016 22:00","50783","60379"
"04.01.2016 22:00 - 04.01.2016 22:15","49911","60596"
"04.01.2016 22:15 - 04.01.2016 22:30","50347","59926"
