"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"05.01.2018 11:00 - 05.01.2018 12:00 (CET/CEST)","7214","0"
"05.01.2018 12:00 - 05.01.2018 13:00 (CET/CEST)","7607","0"
"05.01.2018 13:00 - 05.01.2018 14:00 (CET/CEST)","8029","0"
"05.01.2018 14:00 - 05.01.2018 15:00 (CET/CEST)","8198","0"
"05.01.2018 15:00 - 05.01.2018 16:00 (CET/CEST)","8278","0"
"05.01.2018 16:00 - 05.01.2018 17:00 (CET/CEST)","8523","0"
"05.01.2018 17:00 - 05.01.2018 18:00 (CET/CEST)","9491","0"
"05.01.2018 18:00 - 05.01.2018 19:00 (CET/CEST)","9587","0"
"05.01.2018 19:00 - 05.01.2018 20:00 (CET/CEST)","9166","0"
"05.01.2018 20:00 - 05.01.2018 21:00 (CET/CEST)","7930","0"
"05.01.2018 21:00 - 05.01.2018 22:00 (CET/CEST)","6801","0"
"05.01.2018 22:00 - 05.01.2018 23:00 (CET/CEST)","6628","0"
"05.01.2018 23:00 - 06.01.2018 00:00 (CET/CEST)","5679","0"
"06.01.2018 00:00 - 06.01.2018 01:00 (CET/CEST)","5342","0"
"06.01.2018 01:00 - 06.01.2018 02:00 (CET/CEST)","5251","0"
"06.01.2018 02:00 - 06.01.2018 03:00 (CET/CEST)","5177","0"
"06.01.2018 03:00 - 06.01.2018 04:00 (CET/CEST)","5127","0"
"06.01.2018 04:00 - 06.01.2018 05:00 (CET/CEST)","5076","0"
"06.01.2018 05:00 - 06.01.2018 06:00 (CET/CEST)","5032","0"
"06.01.2018 06:00 - 06.01.2018 07:00 (CET/CEST)","5071","0"
"06.01.2018 07:00 - 06.01.2018 08:00 (CET/CEST)","5425","0"
"06.01.2018 08:00 - 06.01.2018 09:00 (CET/CEST)","5898","0"
"06.01.2018 09:00 - 06.01.2018 10:00 (CET/CEST)","6441","0"
"06.01.2018 10:00 - 06.01.2018 11:00 (CET/CEST)","6698","0"
"06.01.2018 11:00 - 06.01.2018 12:00 (CET/CEST)","6590","0"
"06.01.2018 12:00 - 06.01.2018 13:00 (CET/CEST)","6701","0"
"06.01.2018 13:00 - 06.01.2018 14:00 (CET/CEST)","6397","0"
"06.01.2018 14:00 - 06.01.2018 15:00 (CET/CEST)","6316","0"
"06.01.2018 15:00 - 06.01.2018 16:00 (CET/CEST)","6323","0"
"06.01.2018 16:00 - 06.01.2018 17:00 (CET/CEST)","6564","0"
"06.01.2018 17:00 - 06.01.2018 18:00 (CET/CEST)","7467","0"
"06.01.2018 18:00 - 06.01.2018 19:00 (CET/CEST)","8738","0"
"06.01.2018 19:00 - 06.01.2018 20:00 (CET/CEST)","7436","0"
"06.01.2018 20:00 - 06.01.2018 21:00 (CET/CEST)","6479","0"
"06.01.2018 21:00 - 06.01.2018 22:00 (CET/CEST)","6241","0"
"06.01.2018 22:00 - 06.01.2018 23:00 (CET/CEST)","6147","0"
"06.01.2018 23:00 - 07.01.2018 00:00 (CET/CEST)","5647","0"
"07.01.2018 00:00 - 07.01.2018 01:00 (CET/CEST)","5115","0"
"07.01.2018 01:00 - 07.01.2018 02:00 (CET/CEST)","4961","0"
"07.01.2018 02:00 - 07.01.2018 03:00 (CET/CEST)","4790","0"
"07.01.2018 03:00 - 07.01.2018 04:00 (CET/CEST)","4778","0"
"07.01.2018 04:00 - 07.01.2018 05:00 (CET/CEST)","4744","0"
"07.01.2018 05:00 - 07.01.2018 06:00 (CET/CEST)","4698","0"
"07.01.2018 06:00 - 07.01.2018 07:00 (CET/CEST)","4743","0"
"07.01.2018 07:00 - 07.01.2018 08:00 (CET/CEST)","5030","0"
"07.01.2018 08:00 - 07.01.2018 09:00 (CET/CEST)","5174","0"
"07.01.2018 09:00 - 07.01.2018 10:00 (CET/CEST)","5260","0"
"07.01.2018 10:00 - 07.01.2018 11:00 (CET/CEST)","5481","0"
"07.01.2018 11:00 - 07.01.2018 12:00 (CET/CEST)","5715","0"
